block_sessions,mean_daily_log_difference,CI_low,CI_high
5,9.475138880555851e-05,-0.0007072300296253205,0.0009566258855641984
10,9.475138880555851e-05,-0.0006395942267184463,0.0008865382499727086
21,9.475138880555851e-05,-0.0005827802750798279,0.0007469447463875791
