execution_seed,net_return,log_growth,max_drawdown,annualized_vol,sharpe_0rf,exposure,turnover,unseen_decisions,score
100,0.21163782610185375,0.19197301964222396,-0.14814434049166791,0.16936389296323953,0.6979906064064588,0.6716738197424893,34,4,0.11790084939639
101,0.15331578260010625,0.1426410828869856,-0.14814434049166803,0.16698720098264508,0.5455402901481269,0.6716738197424893,42,4,0.06856891264115159
102,0.23934839034095903,0.21458574983729686,-0.14814434049166803,0.1824314419484137,0.7273794787589178,0.6652360515021459,42,4,0.14051357959146285
103,0.32846979364684187,0.28402774877206527,-0.14814434049166791,0.1647351070750412,1.014822929916825,0.6158798283261803,44,4,0.2099555785262313
104,0.3032945335420867,0.2648953152252365,-0.1481443404916678,0.16365296470230098,0.9571711374847718,0.6072961373390557,34,4,0.19082314497940261
105,0.2555321952785315,0.22755954267861733,-0.1785764114572136,0.17250024400920896,0.7997412580738043,0.5901287553648069,44,4,0.13827133695001054
106,0.4217948940908862,0.35192008334832664,-0.15373821271262966,0.15624586838003282,1.2964648639865584,0.630901287553648,52,4,0.2750509769920118
107,0.33044822312437194,0.28551589532654115,-0.1450039590897777,0.17637463199931475,0.9636974643577985,0.6781115879828327,50,4,0.2130139157816523
108,0.11527221174409819,0.10909851120907713,-0.16270030361324883,0.18836008497432596,0.40752123514061134,0.6630901287553648,52,4,0.02774835940245271
109,0.4280518486167838,0.35631117181342375,-0.14814434049166791,0.1662438260286473,1.2424708103012252,0.572961373390558,46,4,0.2822390015675898
110,0.3557171658181999,0.30433058798232765,-0.12013148630002124,0.17426793746478023,1.0319369513672187,0.6566523605150214,52,4,0.24426484483231703
111,0.20759167301157647,0.18862802334116197,-0.14814434049166791,0.1745737293744063,0.6717707011351057,0.5300429184549357,30,4,0.11455585309532801
112,0.2831037465801434,0.24928194485857022,-0.14531068752913712,0.17692572211589888,0.8504723432167023,0.6437768240343348,44,4,0.17662660109400166
113,0.29194611597829645,0.2561496985915436,-0.14814434049166791,0.15463915231091319,0.9731032488861814,0.5901287553648069,46,4,0.18207752834570962
114,0.2545538826364186,0.22678003738574457,-0.13784978411690763,0.16980266452507473,0.8075833959555575,0.6223175965665236,52,4,0.15785514532729075
115,0.3123269591577179,0.27180186615016166,-0.14814434049166791,0.1790849459833581,0.9105242204626643,0.6030042918454935,44,4,0.1977296959043277
116,0.4155431818843555,0.34751333155759956,-0.14814434049166791,0.15719486845794314,1.2743801783409479,0.5622317596566524,56,4,0.2734411613117656
117,0.36282318775177,0.30955842144695866,-0.11653233090707793,0.16335712722896392,1.1067709024203036,0.5944206008583691,48,4,0.2512922559934197
118,0.25788894782944577,0.22943487761647938,-0.20505094025949921,0.18742697670134711,0.7558557838556085,0.6974248927038627,38,4,0.12690940748672977
119,0.18245416749633095,0.16759208164449835,-0.15312986553349417,0.1874755350561315,0.5772554382801242,0.7489270386266095,52,4,0.09102714887775126
