fee_bps_per_side,strategy,net_return,log_growth,max_drawdown,annualized_vol,sharpe_0rf,exposure,turnover,unseen_decisions,score
0,selected,0.6816335550309562,0.5197656751701514,-0.12518857889525448,0.16280493044224978,1.8085704647048715,0.6437768240343348,52,4,0.45717138572252414
0,buy_hold,0.5304878048780471,0.4255865113075844,-0.15973907407407428,0.21205322213910074,1.1918717276185118,1.0,2,0,0.34571697427054726
0,trend,0.3664573770850981,0.3122215345970008,-0.1364646422558925,0.1714569555690221,1.070656636880235,0.6759656652360515,12,0,0.24398921346905456
5,selected,0.638463926928674,0.49375917300267513,-0.12606317161350378,0.16289730226741098,1.721214143432889,0.6437768240343348,52,4,0.43072758719592324
5,buy_hold,0.5289576996951204,0.4245862612242199,-0.15973907407407428,0.2120414414555566,1.189372853930776,1.0,2,0,0.34471672418718274
5,trend,0.3582811418339736,0.306220034096814,-0.1364646422558924,0.171494890736308,1.0515210760489069,0.6759656652360515,12,0,0.23798771296886778
10,selected,0.5963817430855091,0.4677396578238076,-0.12693732692604287,0.16302803951783346,1.633572318362699,0.6437768240343348,52,4,0.4042709943607862
10,buy_hold,0.5274283597560959,0.42358551064041733,-0.1597390740740744,0.2120309474424395,1.1868665002381138,1.0,2,0,0.34371597360338013
10,trend,0.3501497748016571,0.3002155305939984,-0.1364646422558925,0.17154203156714132,1.0323385764456114,0.6759656652360515,12,0,0.23198320946605216
25,selected,0.4763944068969792,0.38960290382799045,-0.12955716842939602,0.1636493894217549,1.369567884828985,0.6437768240343348,52,4,0.32482431961329244
25,buy_hold,0.5228449314024377,0.42058025087134754,-0.15973907407407428,0.2120071872191617,1.179302995739895,1.0,2,0,0.3407107138343104
25,trend,0.3260226485597154,0.2821839719795794,-0.1364646422558924,0.17173860483284906,0.9745412262172696,0.6759656652360515,12,0,0.2139516508516332
50,selected,0.2957808680586954,0.2591135003458486,-0.13391482282077438,0.16543857401844947,0.9297330350808962,0.6437768240343348,52,4,0.19215608893546143
50,buy_hold,0.5152211890243886,0.41556142766049586,-0.15973907407407428,0.2119933334822311,1.1665516916578818,1.0,2,0,0.3356918906234587
50,trend,0.2866874309397259,0.25207103271446946,-0.1364646422558924,0.17224934517568277,0.8775718335060565,0.6759656652360515,12,0,0.18383871158652326
100,selected,-0.0028477267237738005,-0.0028517892119242216,-0.14259732617523901,0.17171745835400593,0.07677277839679433,0.6437768240343348,52,4,-0.07415045229954373
100,buy_hold,0.5000310975609739,0.40548583960058143,-0.15973907407407428,0.21206218013481232,1.1405245537701318,1.0,2,0,0.3256163025635443
100,trend,0.2112071468931331,0.19161750435498343,-0.1364646422558924,0.17394912244743865,0.6826755906671059,0.6759656652360515,12,0,0.12338518322703723
150,selected,-0.23367084168932684,-0.2661434909523541,-0.25187211836633616,0.18126316936214903,-0.7031061811175401,0.6437768240343348,52,4,-0.3920795501355222
150,buy_hold,0.4849175304878033,0.39535923568748804,-0.1597390740740744,0.21225963683055304,1.1138390156316103,1.0,2,0,0.31548969865045084
150,trend,0.13980578160190488,0.1308578808764226,-0.13646464225589228,0.17653007809816745,0.4890977622046079,0.6759656652360515,12,0,0.06262555974847647
