candidate,rule,net_return,log_growth,max_drawdown,annualized_vol,sharpe_zero_rf,exposure,turnover,score
prior_baseline,direct,0.4104367039515345,0.34389937555157646,-0.1414849461030272,0.32324122419823564,1.3132592725799173,1.0,2,0.27315690250006286
prior_baseline,confidence55,0.0,0.0,0.0,0.0,,0.0,0,0.0
prior_baseline,confidence60,0.0,0.0,0.0,0.0,,0.0,0,0.0
prior_baseline,confidence65,0.0,0.0,0.0,0.0,,0.0,0,0.0
prior_baseline,hysteresis55_45,0.0,0.0,0.0,0.0,,0.0,0,0.0
prior_baseline,hysteresis60_40,0.0,0.0,0.0,0.0,,0.0,0,0.0
prior_baseline,volatility_gate,0.0,0.0,0.0,0.0,,0.0,0,0.0
prior_baseline,trend_gate,0.0,0.0,0.0,0.0,,0.0,0,0.0
logistic_compact,direct,0.2063337039478012,0.18758576313737876,-0.07308770174478907,0.18033975883297218,1.2196007010387762,0.6508620689655172,60,0.15104191226498423
logistic_compact,confidence55,-0.0681147329458025,-0.07054557589356895,-0.1138726552328233,0.07651143468338058,-0.9630077522675833,0.08620689655172414,26,-0.12748190350998062
logistic_compact,confidence60,-0.019099990680699584,-0.019284751911102113,-0.019099990680699563,0.012959066931602705,-1.6098568969293883,0.008620689655172414,4,-0.028834747251451895
logistic_compact,confidence65,-0.007937894117032199,-0.007969566920121513,-0.007937894117032163,0.007308181006141402,-1.1808326666697502,0.004310344827586207,2,-0.011938513978637594
logistic_compact,hysteresis55_45,0.4389773074048496,0.3639326580830765,-0.09413266414002952,0.2746658641298225,1.5712185563016074,0.8836206896551724,4,0.31686632601306175
logistic_compact,hysteresis60_40,0.07220871957124518,0.0697207447893919,-0.1414849461030273,0.2310754053138869,0.4421791910429718,0.3620689655172414,2,-0.0010217282621217544
logistic_compact,volatility_gate,-0.05186826427828354,-0.0532618246496339,-0.09842392924566334,0.07555785889611974,-0.7277179669614169,0.07758620689655173,24,-0.10247378927246557
logistic_compact,trend_gate,-0.0393753857744358,-0.04017156627627819,-0.05838513424084402,0.05964859719427024,-0.7013730203011169,0.03017241379310345,10,-0.0693641333967002
logistic_full,direct,0.3881767848697674,0.32799122059504326,-0.10454072475402942,0.20484460049207798,1.8365429912282796,0.40086206896551724,78,0.27572085821802855
logistic_full,confidence55,0.2945379907480194,0.25815386759497677,-0.08969341527875074,0.18824779683849582,1.577874495629389,0.23706896551724138,46,0.2133071599556014
logistic_full,confidence60,0.29998954765109237,0.26235622416677745,-0.03967914796907035,0.1723370933866606,1.7335829168471524,0.08189655172413793,20,0.24251665018224228
logistic_full,confidence65,-0.029807411598153893,-0.030260682447936532,-0.05278522450249301,0.03476846364384162,-0.9279356486901309,0.03017241379310345,10,-0.05665329469918304
logistic_full,hysteresis55_45,0.38522361737132604,0.32586158319238506,-0.1210326347735019,0.24388644398769993,1.5671200732496442,0.4525862068965517,28,0.2653452658056341
logistic_full,hysteresis60_40,0.301886873997469,0.26381465368087265,-0.0763367437557817,0.22802093136957718,1.3640917622074245,0.28879310344827586,8,0.2256462818029818
logistic_full,volatility_gate,0.4103509918758985,0.34383860382048226,-0.0657350489670484,0.18020781406428876,2.157149132442283,0.1896551724137931,38,0.31097107933695806
logistic_full,trend_gate,0.07128823524834185,0.06886188247338425,-0.08969341527875085,0.1735571182336654,0.5108005909893893,0.125,26,0.02401517483400882
logistic_top8,direct,0.22666264620646437,0.20429718595828072,-0.08093131197428949,0.1345944391829574,1.716026404452404,0.34913793103448276,72,0.16383152997113598
logistic_top8,confidence55,0.1481413022529774,0.1381443759091827,-0.07788875285823849,0.09752138090009914,1.5873601829212691,0.21120689655172414,44,0.09919999948006344
logistic_top8,confidence60,-0.06423199691136972,-0.06638769317494315,-0.08282918289923613,0.04623694266632321,-1.5360465518621094,0.04310344827586207,14,-0.10780228462456122
logistic_top8,confidence65,-0.01911801328225316,-0.01930312561581598,-0.019118013282253155,0.01892592742499796,-1.0982720698107442,0.004310344827586207,2,-0.028862132256942556
logistic_top8,hysteresis55_45,0.5694560277265115,0.45072908016735774,-0.08290378006872834,0.2754297571940573,1.9103814137031898,0.8706896551724138,14,0.4092771901329936
logistic_top8,hysteresis60_40,0.47161422862484487,0.3863599130144909,-0.1036778464759367,0.27751068122313455,1.645715125143094,0.9181034482758621,8,0.33452098977652256
logistic_top8,volatility_gate,0.1807246561785475,0.16612836539142295,-0.04181782447642557,0.07778766150772529,2.3588014630155434,0.125,32,0.14521945315321017
logistic_top8,trend_gate,-0.002361981037629612,-0.0023647749150981067,-0.07788875285823826,0.060807993603164995,-0.011828339496515107,0.10775862068965517,18,-0.04130915134421724
random_forest,direct,0.08780749625646916,0.08416419919135298,-0.12160017428002645,0.11219365871888125,0.8706997131079285,0.2801724137931034,84,0.023364112051339758
random_forest,confidence55,0.08780749625646916,0.08416419919135298,-0.12160017428002645,0.11219365871888125,0.8706997131079285,0.2801724137931034,84,0.023364112051339758
random_forest,confidence60,-0.02997741885873107,-0.03043592822859116,-0.05473132339818032,0.042556564445514665,-0.7556648428202558,0.04310344827586207,20,-0.05780158992768132
random_forest,confidence65,0.0,0.0,0.0,0.0,,0.0,0,0.0
random_forest,hysteresis55_45,0.36124531276087996,0.3083999519245814,-0.18953306807429893,0.2912406769157381,1.291935039642794,0.7543103448275862,30,0.21363341788743195
random_forest,hysteresis60_40,0.4189707524837861,0.3499317866080441,-0.1414849461030272,0.31934430693378646,1.345935703751126,0.978448275862069,2,0.2791893135565305
random_forest,volatility_gate,0.1643396560823514,0.15215410750171898,-0.059800787822058554,0.10201443726935801,1.6711189077874216,0.24568965517241378,72,0.1222537135906897
random_forest,trend_gate,-0.031148010955416857,-0.0316434248422635,-0.09477390022318632,0.07495887471747929,-0.42104780628513416,0.13793103448275862,46,-0.07903037495385666
extra_trees,direct,0.40530325179363114,0.3402531170716689,-0.10263287205448557,0.24477154730498094,1.626412313140703,0.41379310344827586,94,0.2889366810444261
extra_trees,confidence55,0.22711335510692574,0.2046645454118648,-0.03185234670664783,0.13133372486320286,1.7553302211747592,0.10344827586206896,30,0.18873837205854088
extra_trees,confidence60,0.0,0.0,0.0,0.0,,0.0,0,0.0
extra_trees,confidence65,0.0,0.0,0.0,0.0,,0.0,0,0.0
extra_trees,hysteresis55_45,0.5635901518766342,0.4469845565519227,-0.08290378006872856,0.27952916363671243,1.871851245513927,0.9267241379310345,4,0.4055326665175584
extra_trees,hysteresis60_40,0.0,0.0,0.0,0.0,,0.0,0,0.0
extra_trees,volatility_gate,0.24367776954012474,0.21807293306265413,-0.03185234670664783,0.13047620290591536,1.8777322405424588,0.09482758620689655,26,0.20214675970933021
extra_trees,trend_gate,0.09443068299813899,0.090234303858396,-0.016268458347273973,0.11517846099626541,0.90470089091625,0.034482758620689655,12,0.08210007468475901
hist_boost,direct,0.34765016102004864,0.2983624543419741,-0.12019185958557843,0.22858096870073655,1.529750544210488,0.6810344827586207,100,0.2382665245491849
hist_boost,confidence55,0.029153373279180318,0.028736496550756628,-0.20821613828344232,0.17847955475736377,0.2613182241001874,0.40086206896551724,104,-0.07537157259096453
hist_boost,confidence60,-0.07495363303891542,-0.07791141628158432,-0.2057096510848927,0.1576233270268068,-0.4608554271852204,0.2413793103448276,76,-0.18076624182403067
hist_boost,confidence65,-0.021074237744680032,-0.021299469505307003,-0.12693004974343358,0.1478683087438593,-0.08554878859276305,0.15948275862068967,56,-0.0847644943770238
hist_boost,hysteresis55_45,0.1782215198666399,0.16400611497568562,-0.1579375925753319,0.20096297246766942,0.9844660141245756,0.5689655172413793,82,0.08503731868801967
hist_boost,hysteresis60_40,0.06292968584241948,0.06102895026929822,-0.1648407767511043,0.19319779506340387,0.4370394150851083,0.521551724137931,46,-0.021391438106253935
hist_boost,volatility_gate,0.12425453483043257,0.11712018031002874,-0.13504962403799559,0.17222345519289448,0.822023835542843,0.3448275862068966,88,0.04959536829103095
hist_boost,trend_gate,-0.10153823858445957,-0.10707113191062817,-0.16826420149052645,0.14760797128391315,-0.7169316054542834,0.20689655172413793,62,-0.1912032326558914
gradient_boost,direct,0.06642444745510473,0.0643114148400488,-0.08053402583967595,0.14065252550082322,0.5666288365451669,0.3793103448275862,100,0.02404440192021083
gradient_boost,confidence55,0.023557209212393307,0.0232840202213854,-0.09388804489582114,0.0949391303598479,0.3137539187382447,0.1853448275862069,68,-0.023660002226525173
gradient_boost,confidence60,0.0,0.0,0.0,0.0,,0.0,0,0.0
gradient_boost,confidence65,0.0,0.0,0.0,0.0,,0.0,0,0.0
gradient_boost,hysteresis55_45,0.4840343011895769,0.39476425848721297,-0.17515716025333072,0.30596063962207665,1.5507169109370604,0.7887931034482759,16,0.3071856783605476
gradient_boost,hysteresis60_40,0.0,0.0,0.0,0.0,,0.0,0,0.0
gradient_boost,volatility_gate,0.06119540689080708,0.059396015050074615,-0.060568538591695975,0.0892720074479513,0.7673051118235726,0.15517241379310345,56,0.029111745754226627
gradient_boost,trend_gate,-0.05855372282285376,-0.060337993397567194,-0.1028626692516823,0.07551139669575656,-0.8298802525387821,0.10775862068965517,42,-0.11176932802340835
knn,direct,0.5469598020911594,0.4362915868261524,-0.08354030223108633,0.24287507971402353,2.067395515908663,0.43103448275862066,88,0.3945214357106092
knn,confidence55,0.46434294817415883,0.3814066423232064,-0.09883619413994171,0.23950739786140882,1.8437351918271163,0.40086206896551724,90,0.33198854525323557
knn,confidence60,0.23033520129508295,0.20728665363523674,-0.07808458058503831,0.16420407102356332,1.450553639795477,0.21982758620689655,72,0.16824436334271758
knn,confidence65,0.12145149307836235,0.11462382221782784,-0.03478134247683051,0.09244849642094498,1.392361769199897,0.11206896551724138,42,0.09723315097941258
knn,hysteresis55_45,0.43449154319426225,0.36081046112337756,-0.1017798508276998,0.25559776715031696,1.6556426421863728,0.5603448275862069,62,0.30992053570952766
knn,hysteresis60_40,0.19970357203907865,0.18207450297790584,-0.16510111492500135,0.25067506414405777,0.9133455579305,0.6681034482758621,36,0.09952394551540517
knn,volatility_gate,0.5758002105152586,0.4547632134220668,-0.06118938760454751,0.23130487751134343,2.2457922582911056,0.3577586206896552,80,0.42416851961979307
knn,trend_gate,0.2237475960625717,0.20191795045826075,-0.07703398381662152,0.21532958276992703,1.1190410136030944,0.20689655172413793,52,0.16340095854995
naive_bayes,direct,0.1757275154913393,0.16188711811462975,-0.05483080575977872,0.14145365916397531,1.3134702269200804,0.2974137931034483,66,0.13447171523474039
naive_bayes,confidence55,0.1757275154913393,0.16188711811462975,-0.05483080575977872,0.14145365916397531,1.3134702269200804,0.2974137931034483,66,0.13447171523474039
naive_bayes,confidence60,-0.030454124261519812,-0.0309274864519647,-0.07806127763565163,0.06734467597555863,-0.4649271982463053,0.06465517241379311,16,-0.0699581252697905
naive_bayes,confidence65,-0.011645606591309279,-0.011713947768863336,-0.016722398798025395,0.02173874182535074,-0.5744278246799706,0.01293103448275862,4,-0.020075147167876034
naive_bayes,hysteresis55_45,0.4941875278127141,0.4015825994578778,-0.08290378006872856,0.2664482527109595,1.764991546038539,0.7844827586206896,6,0.3601307094235135
naive_bayes,hysteresis60_40,0.5166877064980705,0.4165288166148385,-0.08290378006872845,0.2618481174008654,1.8534941663914815,0.771551724137931,6,0.37507692658047426
naive_bayes,volatility_gate,0.19622512492597702,0.17917086935856483,-0.05483080575977872,0.1408029100508312,1.4523241245534446,0.28879310344827586,64,0.15175546647867547
naive_bayes,trend_gate,0.032132262198758976,0.03162681989275493,-0.058385134240843906,0.07336214901795246,0.5050622240155366,0.11206896551724138,32,0.00243425277233298
soft_vote,direct,0.32243832990183946,0.27947725220885167,-0.1040338076090791,0.1933577331849619,1.6611853457711665,0.24568965517241378,62,0.22746034840431212
soft_vote,confidence55,0.32243832990183946,0.27947725220885167,-0.1040338076090791,0.1933577331849619,1.6611853457711665,0.24568965517241378,62,0.22746034840431212
soft_vote,confidence60,0.02656717369348966,0.02622039488131059,-0.04384005630582244,0.05357620710047386,0.5580594876991242,0.04741379310344827,20,0.004300366728399372
soft_vote,confidence65,-0.013255944583636653,-0.01334458886435717,-0.013255944583636659,0.01282399293373164,-1.1238328279558494,0.004310344827586207,2,-0.0199725611561755
soft_vote,hysteresis55_45,0.4862881042001153,0.3962818065075775,-0.12125213829684811,0.2345651150497982,1.948291845100794,0.6896551724137931,28,0.33565573735915344
soft_vote,hysteresis60_40,0.42248444464191093,0.35240495173318875,-0.09255556402198684,0.26461498642798853,1.5732990149883788,0.6594827586206896,8,0.30612716972219534
soft_vote,volatility_gate,0.427928798365068,0.35622500158539927,-0.04301090818112874,0.18755178083602478,2.151763871625955,0.21982758620689655,54,0.3347195474948349
soft_vote,trend_gate,0.13619422412308044,0.12768427762425466,-0.07480268408020618,0.1693924545954247,0.8966218532746337,0.10344827586206896,34,0.09028293558415157
soft_vote_calibrated,direct,0.4754994156301059,0.38899651935205337,-0.08840553362571457,0.2546833106828272,1.7809608073600205,0.5862068965517241,84,0.3447937525391961
soft_vote_calibrated,confidence55,0.003445474036215138,0.0034395519894883228,-0.012268212796433198,0.02039417026895077,0.19330251291493067,0.008620689655172414,2,-0.002694554408728276
soft_vote_calibrated,confidence60,0.0,0.0,0.0,0.0,,0.0,0,0.0
soft_vote_calibrated,confidence65,0.0,0.0,0.0,0.0,,0.0,0,0.0
soft_vote_calibrated,hysteresis55_45,0.4762206206289807,0.3894851869793129,-0.1414849461030271,0.314758827106514,1.4976737066968548,0.9137931034482759,2,0.31874271392779935
soft_vote_calibrated,hysteresis60_40,0.0,0.0,0.0,0.0,,0.0,0,0.0
soft_vote_calibrated,volatility_gate,0.003445474036215138,0.0034395519894883228,-0.012268212796433198,0.02039417026895077,0.19330251291493067,0.008620689655172414,2,-0.002694554408728276
soft_vote_calibrated,trend_gate,0.0,0.0,0.0,0.0,,0.0,0,0.0
