candidate,params,fold,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,roc_auc,average_precision,brier_loss,log_loss,predicted_up_share
prior_baseline,{},1,0.537117903930131,0.5,0.537117903930131,1.0,0.6988636363636364,0.5,0.537117903930131,0.2487028903974404,0.6905510554192618,1.0
prior_baseline,{},2,0.5240174672489083,0.5,0.5240174672489083,1.0,0.6876790830945558,0.5,0.5240174672489083,0.24946434320337454,0.6920756882920567,1.0
prior_baseline,{},3,0.519650655021834,0.5,0.519650655021834,1.0,0.6839080459770115,0.5,0.519650655021834,0.24968869556836185,0.6925247631313737,1.0
prior_baseline,{},4,0.5021834061135371,0.5,0.5021834061135371,1.0,0.6686046511627907,0.5,0.5021834061135371,0.25062272067650704,0.6943945907957795,1.0
logistic_compact,"{""model__C"": 0.1}",1,0.4890829694323144,0.4676714219972388,0.5166666666666667,0.7560975609756098,0.6138613861386139,0.4667893848749808,0.5326493818425029,0.25205539366682395,0.6973159191405417,0.7860262008733624
logistic_compact,"{""model__C"": 0.1}",2,0.5152838427947598,0.5097477064220184,0.5319148936170213,0.625,0.5747126436781609,0.47515290519877673,0.5125883117452801,0.2521745084956494,0.697525286208013,0.6157205240174672
logistic_compact,"{""model__C"": 0.1}",3,0.5240174672489083,0.5079831932773109,0.5240384615384616,0.9159663865546218,0.6666666666666666,0.5250572956455308,0.5566276276266762,0.25007576039519946,0.6934993084952036,0.9082969432314411
logistic_compact,"{""model__C"": 0.1}",4,0.49344978165938863,0.49138062547673533,0.4977578475336323,0.9652173913043478,0.6568047337278107,0.49435545385202134,0.5081588583829207,0.2516768095753152,0.6965179953936563,0.9737991266375546
logistic_compact,"{""model__C"": 1.0}",1,0.4759825327510917,0.4600398834177021,0.50920245398773,0.6747967479674797,0.5804195804195804,0.46648258935419545,0.5368049927600372,0.2537830792676496,0.7009633780447102,0.7117903930131004
logistic_compact,"{""model__C"": 1.0}",2,0.519650655021834,0.5147553516819572,0.5362318840579711,0.6166666666666667,0.5736434108527132,0.4730122324159022,0.5108557319617648,0.25274647832013186,0.6986813008476175,0.6026200873362445
logistic_compact,"{""model__C"": 1.0}",3,0.5283842794759825,0.5128724216959512,0.526829268292683,0.907563025210084,0.6666666666666666,0.5241405653170359,0.5586275285995684,0.2501577708657013,0.6937023137463647,0.8951965065502183
logistic_compact,"{""model__C"": 1.0}",4,0.49344978165938863,0.49138062547673533,0.4977578475336323,0.9652173913043478,0.6568047337278107,0.49374523264683445,0.5066492562310093,0.2517267315707207,0.6966204109215166,0.9737991266375546
