block_sessions,metric,CI_low,CI_high,replicates
5,accuracy_difference,-0.11587982832618027,0.02145922746781115,1500
5,balanced_accuracy_difference,-0.0204298860671163,0.06399399299908753,1500
10,accuracy_difference,-0.11587982832618027,0.015021459227467893,1500
10,balanced_accuracy_difference,-0.02599925234593749,0.060253944515031695,1500
21,accuracy_difference,-0.10944206008583687,0.01931330472102999,1500
21,balanced_accuracy_difference,-0.018266955266563835,0.057660115788431755,1500
