date,log_return,action,turnover,return,equity,drawdown
2016-10-24,0.011229320581781489,1,1,0.011292606064634114,1.0112926060646341,0.0
2016-10-25,0.010080420089599659,1,0,0.01013139867538726,1.0215384146341462,0.0
2016-10-26,-0.013664800029897941,1,0,-0.01357186046511627,1.0076742378109755,-0.013571860465116159
2016-10-27,-0.004981417811307273,1,0,-0.0049690311258888675,1.0026670731585365,-0.01847345259391764
2016-10-28,0.008385048008784535,1,0,0.008420300987590723,1.011109831704878,-0.010208703637447858
2016-10-31,-0.00909004730741112,1,0,-0.009048857726946968,1.0019604426914632,-0.01916518425760294
2016-11-01,-0.014155624953950676,1,0,-0.014055905181463824,0.9878769817134145,-0.0329517054263565
2016-11-02,-0.005081500505275599,1,0,-0.005068611522615396,0.9828698170609754,-0.037853297555158094
2016-11-03,-0.02797966649111825,1,0,-0.02759186093024113,0.9557506097560974,-0.06440071556350635
2016-11-04,-0.016969184791282496,1,0,-0.01682601912045889,0.9396691317219511,-0.08014312701252235
2016-11-07,0.030201847308202225,1,0,0.030662549420394924,0.968481782912195,-0.05193797018485391
2016-11-08,0.008866815118940673,1,0,0.00890624176756405,0.9771073158182925,-0.04349430053667269
2016-11-09,-0.00024941328457642615,1,0,-0.0002493821836688781,0.9768636426621949,-0.04373283601669653
2016-11-10,0.01013761114211306,1,0,0.01018917080526305,0.9868170731707314,-0.033989266547406194
2016-11-11,-0.04183846002039453,1,0,-0.04097531111111119,0.9463819365878046,-0.07357185688729895
2016-11-14,-0.006522153826395797,1,0,-0.006500930746259459,0.9402295731585363,-0.07959450208706043
2016-11-15,-0.008183647446976678,1,0,-0.008150252563617566,0.9325664646695119,-0.08709603935599297
2016-11-16,0.00644581224832219,1,0,0.006466631203747131,0.938597028069512,-0.0811926261180681
2016-11-17,0.015558123793268604,1,0,0.01567978150431748,0.9533140243902436,-0.06678592725104371
2016-11-18,0.005950291245090796,1,0,0.005968029392971141,0.9590034305085362,-0.06121647823494358
2016-11-21,-0.011589193880879714,1,0,-0.011522297846563112,0.9479535073463411,-0.07203342158616599
2016-11-22,0.01389861404137414,1,0,0.013995648805931848,0.9612207317195118,-0.05904592725104374
2016-11-23,0.0006715573757049137,1,0,0.0006717829208453541,0.9618664633902434,-0.05841381037567117
2016-11-25,-0.008790722747803723,1,0,-0.00875219731603516,0.9534480183109751,-0.06665475849731695
