date,log_return,action,turnover,return,equity,drawdown
2016-10-24,0.011229320581781489,1,1,0.011292606064634114,1.0112926060646341,0.0
2016-10-25,0.010080420089599659,1,0,0.01013139867538726,1.0215384146341462,0.0
2016-10-26,-0.013664800029897941,1,0,-0.01357186046511627,1.0076742378109755,-0.013571860465116159
2016-10-27,-0.004981417811307273,1,0,-0.0049690311258888675,1.0026670731585365,-0.01847345259391764
2016-10-28,0.008385048008784535,1,0,0.008420300987590723,1.011109831704878,-0.010208703637447858
2016-10-31,-0.00909004730741112,1,0,-0.009048857726946968,1.0019604426914632,-0.01916518425760294
2016-11-01,-0.0010005003335835344,0,1,-0.0010000000000000009,1.0009584822487718,-0.020146019073345234
2016-11-02,-0.006082000838859142,1,1,-0.00606354291109279,0.994889127539434,-0.02608740573329915
2016-11-03,-0.02797966649111825,1,0,-0.02759186093024113,0.9674382850913571,-0.05295946659251627
2016-11-04,-0.016969184791282496,1,0,-0.01682601912045889,0.9511601500085459,-0.06889438871548026
2016-11-07,0.030201847308202225,1,0,0.030662549420394924,0.9803251451148932,-0.04034431689386164
2016-11-08,0.008866815118940673,1,0,0.00890624176756405,0.9890561578681087,-0.031797391366501504
2016-11-09,-0.0010005003335835344,0,1,-0.0010000000000000009,0.9880671017102407,-0.0327655939751349
2016-11-10,0.009137110808529591,1,1,0.00917898163445785,0.997136551490451,-0.023887367126016912
2016-11-11,-0.04183846002039453,1,0,-0.04097531111111119,0.9562785710728692,-0.06388388593751437
2016-11-14,-0.006522153826395797,1,0,-0.006500930746259459,0.9500618703081926,-0.06996951196549206
2016-11-15,-0.008183647446976678,1,0,-0.008150252563617566,0.9423186261141179,-0.07754949533483779
2016-11-16,0.00644581224832219,1,0,0.006466631203747131,0.9484122531456195,-0.07158434811745784
2016-11-17,-0.0010005003335835344,0,1,-0.0010000000000000009,0.9474638408924739,-0.07251276376934035
2016-11-18,0.004949790911507222,1,1,0.00496206136357813,0.9521652146107538,-0.0679105151892283
2016-11-21,-0.0010005003335835344,0,1,-0.0010000000000000009,0.951213049396143,-0.06884260467403913
2016-11-22,0.01289811370779054,1,1,0.01298165315712585,0.9635613672819358,-0.0567546423332248
2016-11-23,-0.0010005003335835344,0,1,-0.0010000000000000009,0.9625978059146538,-0.05769788769089157
2016-11-25,-0.009791223081387294,1,1,-0.009743445118719163,0.9532187870213249,-0.06687915660742849
