steps,horizon,mean_reward,mean_abs_td,exposure,turnover_per_step,unique_dates,visited_states,candidate,training_seed
90,90,0.004819467829897908,0.4069830986648283,0.5,0.37777777777777777,90,15,Q_learning,7
180,90,0.15570524290814178,0.6120896684941443,0.6555555555555556,0.2222222222222222,180,21,Q_learning,7
270,90,0.0370751414225235,0.4159966862414425,0.3888888888888889,0.18888888888888888,239,23,Q_learning,7
360,90,0.04065962220049292,0.7290496995282406,0.6555555555555556,0.17777777777777778,329,27,Q_learning,7
450,90,-0.1835120878857961,0.4590870533606344,0.36666666666666664,0.26666666666666666,382,30,Q_learning,7
540,90,-0.11426877531994067,0.3918077686665674,0.3111111111111111,0.15555555555555556,472,32,Q_learning,7
630,90,-0.026392748093603185,0.4199340539723003,0.37777777777777777,0.37777777777777777,562,35,Q_learning,7
720,90,0.03223835540915312,0.281256082533078,0.26666666666666666,0.2222222222222222,639,36,Q_learning,7
810,90,-0.08904250488301033,0.7321987049758566,0.5555555555555556,0.3333333333333333,666,36,Q_learning,7
900,90,-0.004859418231039648,0.2490849090445529,0.2222222222222222,0.17777777777777778,666,36,Q_learning,7
990,90,-0.12466869063539446,0.31717583926565346,0.28888888888888886,0.2222222222222222,732,36,Q_learning,7
1080,90,0.006265805637835386,0.29307866577865915,0.24444444444444444,0.37777777777777777,768,38,Q_learning,7
1170,90,0.022318307641548168,0.31322170776421676,0.26666666666666666,0.4222222222222222,768,38,Q_learning,7
1260,90,-0.03575618397988301,0.2505529635547683,0.25555555555555554,0.24444444444444444,768,38,Q_learning,7
1350,90,-0.011484791185663503,0.21759549170728265,0.13333333333333333,0.24444444444444444,768,38,Q_learning,7
1440,90,-0.13813606203834822,0.2754748821105182,0.18888888888888888,0.26666666666666666,775,38,Q_learning,7
1530,90,-0.004193793578606354,0.1464025268301202,0.1111111111111111,0.2222222222222222,775,38,Q_learning,7
1620,90,0.025479873286090676,0.07818796474050643,0.07777777777777778,0.022222222222222223,775,38,Q_learning,7
1710,90,-0.037284406651428806,0.2435237957633365,0.17777777777777778,0.12222222222222222,775,38,Q_learning,7
1800,90,0.0016083796496590018,0.1951614017570113,0.2111111111111111,0.28888888888888886,775,38,Q_learning,7
1890,90,-0.06674168214553096,0.3133497902242492,0.2111111111111111,0.24444444444444444,775,38,Q_learning,7
1980,90,-0.07944567688041254,0.37713728274368186,0.34444444444444444,0.17777777777777778,844,40,Q_learning,7
2070,90,0.009403669503466675,0.16199576128853257,0.2222222222222222,0.13333333333333333,844,40,Q_learning,7
2160,90,-0.006315989659504344,0.2888235235716519,0.2777777777777778,0.24444444444444444,934,40,Q_learning,7
2250,90,-0.034544066503106846,0.24819613845032476,0.25555555555555554,0.17777777777777778,934,40,Q_learning,7
2340,90,0.015994232597404626,0.3951901245845931,0.4222222222222222,0.2222222222222222,961,40,Q_learning,7
2430,90,-0.05495563977226108,0.32126506361526813,0.4222222222222222,0.13333333333333333,961,40,Q_learning,7
2520,90,0.016086382922807778,0.21088899675628042,0.25555555555555554,0.25555555555555554,961,40,Q_learning,7
2610,90,-0.0047278749964210255,0.35396922821614013,0.4444444444444444,0.37777777777777777,961,40,Q_learning,7
2700,90,0.021653070827844234,0.2727210852592335,0.2222222222222222,0.3333333333333333,968,40,Q_learning,7
2790,90,-0.0007251239047971567,0.3420011091923868,0.2111111111111111,0.24444444444444444,1014,40,Q_learning,7
2880,90,0.044808003835772846,0.29645282582847315,0.34444444444444444,0.4222222222222222,1014,40,Q_learning,7
2970,90,0.013268946612092663,0.2787028483085263,0.2777777777777778,0.28888888888888886,1014,40,Q_learning,7
3060,90,0.0038246547100935463,0.2724165614529029,0.3,0.4888888888888889,1051,40,Q_learning,7
3150,90,-0.0355973098231779,0.18689412248411238,0.1111111111111111,0.2,1051,40,Q_learning,7
3240,90,-0.01616469503237992,0.12383619107920676,0.1111111111111111,0.2222222222222222,1070,40,Q_learning,7
3330,90,-0.01243763583183937,0.14350426646365652,0.16666666666666666,0.2,1070,40,Q_learning,7
3420,90,-0.2424618080207113,0.31833137923441635,0.16666666666666666,0.26666666666666666,1070,40,Q_learning,7
3510,90,-0.08819758874070012,0.2670702739616255,0.18888888888888888,0.2,1070,40,Q_learning,7
3600,90,-0.013393111322695116,0.27837251867981005,0.25555555555555554,0.3111111111111111,1070,40,Q_learning,7
3690,90,0.025269968651210166,0.3718254831941889,0.24444444444444444,0.37777777777777777,1070,40,Q_learning,7
3780,90,0.000963998317009798,0.22344413929675563,0.16666666666666666,0.24444444444444444,1087,40,Q_learning,7
3870,90,-0.038130739591454445,0.3426821266332934,0.34444444444444444,0.28888888888888886,1087,40,Q_learning,7
3960,90,0.09638704256230377,0.33298145728142775,0.3,0.5111111111111111,1087,40,Q_learning,7
4050,90,0.029780274845586922,0.16275917350701544,0.12222222222222222,0.15555555555555556,1087,40,Q_learning,7
4140,90,0.010742339794538891,0.1552375462067371,0.1,0.17777777777777778,1087,40,Q_learning,7
4230,90,-0.006746860994078917,0.14065989716953275,0.16666666666666666,0.26666666666666666,1087,40,Q_learning,7
4320,90,-0.09023969979922039,0.19643643171078098,0.15555555555555556,0.16666666666666666,1087,40,Q_learning,7
4410,90,-0.005672363151749444,0.19184634291491218,0.24444444444444444,0.25555555555555554,1101,41,Q_learning,7
4500,90,-0.03127760954354041,0.3677982547627615,0.36666666666666664,0.3,1101,41,Q_learning,7
4590,90,0.05051707478016627,0.7251894698146145,0.45555555555555555,0.4666666666666667,1101,41,Q_learning,7
4680,90,0.03890950868042276,0.32292498368448386,0.35555555555555557,0.32222222222222224,1101,41,Q_learning,7
4770,90,-0.07414824807375632,0.536415258202346,0.3888888888888889,0.5333333333333333,1109,41,Q_learning,7
4860,90,0.06655940950096553,0.3441030443775421,0.26666666666666666,0.3333333333333333,1109,41,Q_learning,7
4950,90,0.032696669043573656,0.3774053020680808,0.2777777777777778,0.3111111111111111,1109,41,Q_learning,7
5040,90,-0.14846086941331516,0.48266050468418664,0.37777777777777777,0.5111111111111111,1109,41,Q_learning,7
5130,90,-0.03219324061027604,0.22316110309620352,0.12222222222222222,0.2,1109,41,Q_learning,7
5220,90,-0.09978496235040196,0.5652131375532743,0.3,0.35555555555555557,1109,41,Q_learning,7
5310,90,0.033307336812885564,0.208761139743842,0.17777777777777778,0.32222222222222224,1109,41,Q_learning,7
5400,90,0.03752554503246252,0.2580918136548245,0.14444444444444443,0.17777777777777778,1109,41,Q_learning,7
5490,90,0.005946905366227526,0.27309086036108243,0.24444444444444444,0.2222222222222222,1109,41,Q_learning,7
5580,90,0.16876276193802575,0.3126777242816532,0.3111111111111111,0.2222222222222222,1109,41,Q_learning,7
5670,90,-0.10467010570942678,0.46173033322905443,0.3111111111111111,0.5333333333333333,1109,41,Q_learning,7
5760,90,-0.0546425547253982,0.3827113645248406,0.28888888888888886,0.23333333333333334,1109,41,Q_learning,7
5850,90,-0.049554354781743186,0.21068942859339534,0.13333333333333333,0.24444444444444444,1120,41,Q_learning,7
5940,90,0.13050437947064572,0.3142624049445728,0.24444444444444444,0.35555555555555557,1122,41,Q_learning,7
6030,90,0.0014990682622734593,0.2836958572645705,0.23333333333333334,0.28888888888888886,1122,41,Q_learning,7
6120,90,0.08806686648453817,0.733321333963543,0.3,0.5333333333333333,1122,41,Q_learning,7
6210,90,-0.07581295989155218,0.41349361090372966,0.2222222222222222,0.4222222222222222,1122,41,Q_learning,7
6300,90,-0.06758613298447345,0.37856778934563,0.3,0.36666666666666664,1122,41,Q_learning,7
6390,90,-0.03384533313870347,0.26696625461791734,0.14444444444444443,0.2222222222222222,1122,41,Q_learning,7
6480,90,-0.03060026055922605,0.1295798087528902,0.14444444444444443,0.2222222222222222,1122,41,Q_learning,7
6570,90,0.08903588629237344,0.20226242071884115,0.14444444444444443,0.26666666666666666,1122,41,Q_learning,7
6660,90,0.006082309772087401,0.29911131264838714,0.15555555555555556,0.26666666666666666,1122,41,Q_learning,7
6750,90,-0.020978535467620456,0.234648533875324,0.2111111111111111,0.34444444444444444,1122,42,Q_learning,7
6840,90,-0.04537859902456603,0.2886631718773374,0.16666666666666666,0.2222222222222222,1122,42,Q_learning,7
6930,90,0.1010876313135302,0.2830474632580599,0.23333333333333334,0.24444444444444444,1128,42,Q_learning,7
7020,90,-0.07301574682529303,0.34314465954647844,0.2,0.24444444444444444,1128,42,Q_learning,7
7110,90,-0.032102255438794094,0.23557339504752173,0.25555555555555554,0.32222222222222224,1128,42,Q_learning,7
7200,90,-0.07409832013349966,0.20396205295609207,0.14444444444444443,0.15555555555555556,1128,42,Q_learning,7
7290,90,-0.052600140767509726,0.24776640719335918,0.23333333333333334,0.2,1128,42,Q_learning,7
7380,90,-0.03815332035861515,0.23744762126453203,0.26666666666666666,0.15555555555555556,1128,42,Q_learning,7
7470,90,0.00958056283479971,0.12552392707732576,0.16666666666666666,0.13333333333333333,1128,42,Q_learning,7
7560,90,-0.030958646496757163,0.2692252721216333,0.3333333333333333,0.1111111111111111,1128,42,Q_learning,7
7650,90,-0.046152418434923514,0.11869041186563116,0.05555555555555555,0.1111111111111111,1128,42,Q_learning,7
7740,90,-0.03805554919067508,0.1950579217996283,0.2,0.2777777777777778,1128,42,Q_learning,7
7830,90,0.016787098320381173,0.18842266530422652,0.2111111111111111,0.13333333333333333,1128,42,Q_learning,7
7920,90,-0.021477102614361573,0.3418960396810975,0.4444444444444444,0.12222222222222222,1128,42,Q_learning,7
8010,90,0.004139190796331787,0.137061564480109,0.13333333333333333,0.2222222222222222,1128,42,Q_learning,7
8100,90,-0.08308559309347849,0.4405812077325556,0.3888888888888889,0.24444444444444444,1128,42,Q_learning,7
8190,90,-0.024928981166959564,0.1602466192723213,0.1111111111111111,0.2222222222222222,1128,42,Q_learning,7
8280,90,0.06022409830052491,0.19363289866763403,0.13333333333333333,0.15555555555555556,1128,42,Q_learning,7
8370,90,0.07107603891307439,0.1855563683381056,0.15555555555555556,0.24444444444444444,1128,42,Q_learning,7
8460,90,0.12192029742823253,0.19099215943925804,0.12222222222222222,0.15555555555555556,1128,42,Q_learning,7
8550,90,-0.07295519772473898,0.310086381223105,0.18888888888888888,0.26666666666666666,1128,42,Q_learning,7
8640,90,0.11102408870021488,0.2163075912793728,0.16666666666666666,0.06666666666666667,1128,42,Q_learning,7
8730,90,0.03251280916487842,0.15379747059765936,0.12222222222222222,0.2,1128,42,Q_learning,7
8820,90,0.0029278172548289206,0.27237199605162893,0.32222222222222224,0.2,1128,42,Q_learning,7
8910,90,-0.05790488724144112,0.5393427912382156,0.4888888888888889,0.24444444444444444,1128,42,Q_learning,7
9000,90,-0.055028032881356916,0.5290855788359915,0.2777777777777778,0.1111111111111111,1128,42,Q_learning,7
9090,90,0.02684609197759793,0.14838295081464264,0.1,0.15555555555555556,1128,42,Q_learning,7
9180,90,-0.015196637024059682,0.1404906289263844,0.07777777777777778,0.13333333333333333,1128,42,Q_learning,7
9270,90,0.06617723306586545,0.17939493480459207,0.14444444444444443,0.2222222222222222,1128,42,Q_learning,7
9360,90,-0.05295363998739418,0.29641052515574534,0.28888888888888886,0.2,1128,42,Q_learning,7
9450,90,0.09289007194133239,0.1577387526938166,0.1111111111111111,0.17777777777777778,1128,42,Q_learning,7
9540,90,-0.08276128173963423,0.43860378788478677,0.43333333333333335,0.2,1128,42,Q_learning,7
9630,90,0.030488816934993196,0.09262617786451263,0.07777777777777778,0.15555555555555556,1128,42,Q_learning,7
9720,90,0.04574750618676634,0.31387587594170435,0.34444444444444444,0.2111111111111111,1128,42,Q_learning,7
9810,90,0.028704411885531484,0.2690897132260032,0.32222222222222224,0.12222222222222222,1128,42,Q_learning,7
9900,90,0.006987705997231918,0.11192531286558983,0.1,0.15555555555555556,1128,42,Q_learning,7
9990,90,0.011633919024062914,0.15798996052800487,0.1111111111111111,0.1111111111111111,1128,42,Q_learning,7
10080,90,-0.005047555340313546,0.15448074742697687,0.08888888888888889,0.15555555555555556,1128,42,Q_learning,7
10170,90,-0.015510913308785262,0.13818248837715807,0.1,0.2,1128,42,Q_learning,7
10260,90,-0.009995585998130588,0.18090744947993917,0.2222222222222222,0.17777777777777778,1128,42,Q_learning,7
10350,90,0.0946763772424004,0.28465420972807576,0.14444444444444443,0.2222222222222222,1128,42,Q_learning,7
10440,90,0.0700099854443704,0.251287404894208,0.26666666666666666,0.4111111111111111,1128,42,Q_learning,7
10530,90,0.023784235617668875,0.1752724929697052,0.16666666666666666,0.3333333333333333,1128,42,Q_learning,7
10620,90,4.733931720396921e-05,0.40479677720052987,0.34444444444444444,0.3333333333333333,1128,42,Q_learning,7
10710,90,-0.16617995734944807,0.41503251524242657,0.3,0.5,1128,42,Q_learning,7
10800,90,0.01389555962738132,0.18263407678098456,0.1111111111111111,0.2,1128,42,Q_learning,7
10890,90,-0.0766493410835408,0.08711346644053905,0.044444444444444446,0.07777777777777778,1128,42,Q_learning,7
