execution_seed,net_return,log_growth,max_drawdown,annualized_vol,sharpe_zero_rf,exposure,turnover,score
1000,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1001,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1002,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1003,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1004,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1005,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1006,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1007,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1008,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1009,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1010,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1011,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1012,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1013,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1014,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1015,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1016,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1017,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1018,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
1019,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108,0.2446586168049137
