block_sessions,strategy,mean_daily_log_outperformance,CI_low,CI_high
5,selected_ML,0.00022930255194212625,-0.00019342074165093002,0.000703288651362249
5,selected_RL_primary,-0.00024485762466687315,-0.0007777486544868298,0.00024379640401645336
10,selected_ML,0.00022930255194212625,-0.00013561583103655962,0.0006773262149760994
10,selected_RL_primary,-0.00024485762466687315,-0.0007403236347153948,0.00022986870571920631
21,selected_ML,0.00022930255194212625,-0.00010653060146794489,0.0006057208700821759
21,selected_RL_primary,-0.00024485762466687315,-0.0005910155411709513,8.317806961986775e-05
