fee_bps_per_side,strategy,net_return,log_growth,max_drawdown,annualized_vol,sharpe_zero_rf,exposure,turnover,score
0,buy_hold,0.5304878048780471,0.4255865113075844,-0.15973907407407428,0.21205322213910074,1.1918717276185118,1.0,2.0,0.34571697427054726
0,selected_ML,0.7202102192452159,0.5424465038484505,-0.14814434049166791,0.19085812661426363,1.63319680585701,0.869098712446352,12.0,0.46837433360261654
0,selected_RL,0.5182158971131398,0.41753589357267595,-0.1296464814814815,0.19005337860811786,1.2835440451438882,0.8798283261802575,108.0,0.3527126528319352
5,buy_hold,0.5289576996951204,0.4245862612242199,-0.15973907407407428,0.2120414414555566,1.189372853930776,1.0,2.0,0.34471672418718274
5,selected_ML,0.7099172941457581,0.5364450033482633,-0.14814434049166791,0.19079782560863567,1.6166254560525015,0.869098712446352,12.0,0.4623728331024293
5,selected_RL,0.43838706069477806,0.3635223890709941,-0.1296464814814815,0.19011306631951108,1.1294379638657241,0.8798283261802575,108.0,0.29869914833025335
10,buy_hold,0.5274283597560959,0.42358551064041733,-0.1597390740740744,0.2120309474424395,1.1868665002381138,1.0,2.0,0.34371597360338013
10,selected_ML,0.6996808528926384,0.530440499845448,-0.14814434049166791,0.19074589143373546,1.599973444379668,0.869098712446352,12.0,0.4563683295996141
10,selected_RL,0.36271884868608173,0.3094818575456544,-0.1296464814814814,0.19023192268924982,0.9751252264187172,0.8798283261802575,108.0,0.2446586168049137
25,buy_hold,0.5228449314024377,0.42058025087134754,-0.15973907407407428,0.2120071872191617,1.179302995739895,1.0,2.0,0.3407107138343104
25,selected_ML,0.6693076192898872,0.5124089412310286,-0.1481443404916678,0.190640352764024,1.5495542988451951,0.869098712446352,12.0,0.43833677098519475
25,selected_RL,0.15858314288133676,0.14719783001588105,-0.19056939900128167,0.1909421238007699,0.5123910911101733,0.8798283261802575,108.0,0.05191313051524021
50,buy_hold,0.5152211890243886,0.41556142766049586,-0.15973907407407428,0.2119933334822311,1.1665516916578818,1.0,2.0,0.3356918906234587
50,selected_ML,0.6197891751284738,0.482296001965919,-0.1481443404916678,0.19063221317245033,1.4641086567408252,0.869098712446352,12.0,0.4082238317200851
50,selected_RL,-0.11645992012742963,-0.12381862337010689,-0.31411507023740803,0.19328833785986307,-0.2497191325665388,0.8798283261802575,108.0,-0.2808761584888109
